run,instance.duration,instance.duration_s,instance.no,iteration.no,row.no,row.events,row.viability
1,0:00:02.370177,2.3701770305633545,1,1,1,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,2,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,3,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,4,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,5,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,6,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,7,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,8,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,9,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,10,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
1,0:00:02.370177,2.3701770305633545,1,1,11,[13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13. 13.],0.4617862271694395
