experiment,reader,max_len,virtual_max_len,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.edit_rate,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.recombiner.type,gen.recombiner.recombination_rate,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,50,0.5769559741020203,2.320203639949561,0.9337230488915882,0.9926295328614168,0.0017720922942277065,0.3920789659023285,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 04 > 02 > 03 > 06 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,1
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,49,0.5769662261009216,2.3202115101376677,0.9344063164287884,0.9916176015369419,0.0021018015377819227,0.3920857906341553,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 02 > 03 > 06 > 08 > 03 > 02 > 03 > 03 > 02 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,2
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,48,0.5768957734107971,2.320225726514887,0.9350895839659885,0.991385168511906,0.001712151862920383,0.39203882217407227,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 04 > 02 > 03 > 06 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,3
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,47,0.5769021511077881,2.3203288666721726,0.9326601882781658,0.9928463065704933,0.0027792581150173734,0.3920431137084961,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 02 > 03 > 06 > 08 > 03 > 02 > 03 > 03 > 02 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,4
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,46,0.5769091844558716,2.320336072351523,0.931521409049499,0.993050418079388,0.0037164525495254233,0.39204779267311096,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 02 > 03 > 06 > 07 > 03 > 02 > 09 > 03 > 03 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,5
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,45,0.5769630670547485,2.320478081184839,0.9341026419678105,0.9921942414327045,0.002097463510413288,0.3920837342739105,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 02 > 03 > 06 > 07 > 03 > 02 > 03 > 03 > 02 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,6
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,44,0.5767964720726013,2.3204789960721137,0.9317491648952323,0.9924686917159699,0.004288508244862575,0.3919726312160492,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 16 > 05 > 02 > 03 > 06 > 07 > 03 > 02 > 09 > 03 > 03 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,7
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,43,0.5769049525260925,2.3204828133712923,0.9344822350440328,0.9918596064465357,0.0020960402305618877,0.39204493165016174,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 02 > 03 > 06 > 08 > 03 > 02 > 03 > 03 > 02 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,8
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,42,0.5767785906791687,2.3205517231673847,0.9328879441238992,0.9928552379325915,0.002847830823800295,0.3919607102870941,76,1,1,0,10 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 04 > 02 > 03 > 06 > 07 > 03 > 02 > 09 > 02 > 03 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,9
1,OutcomeSepsisReader100,90,102,EvolutionaryStrategy,41,0.5769885182380676,2.3206686536799204,0.932204676586699,0.9916190006950942,0.004744314405099942,0.39210066199302673,76,1,1,0,03 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 02 > 03 > 07 > 09 > 03 > 02 > 09 > 03 > 02 > 10 > 17,16 > 01 > 05 > 04 > 02 > 03 > 06 > 07 > 08 > 09 > 04 > 03 > 02 > 09 > 02 > 03 > 03 > 02 > 10 > 17,3839.666244983673,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,90,18,90,74,1,EvolutionaryStrategy,50,1000,100,1000,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,123,18,90,1111,ImprovementMeasure,1,1,10
