experiment,reader,max_len,virtual_max_len,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,50,0.45345690846443176,1.9757592603430396,0.7710770471964502,0.8709846854982454,1.325630801246395e-12,0.33369752764701843,53,0,1,0,16 > 01 > 05 > 06 > 02 > 03 > 04 > 07 > 08 > 09 > 02 > 03 > 09 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,1
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,49,0.4527662694454193,1.9763738388413372,0.7711778943122227,0.8719588627611636,1.822302258263254e-12,0.33323708176612854,54,0,1,0,16 > 01 > 05 > 06 > 03 > 04 > 02 > 09 > 07 > 08 > 03 > 02 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,2
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,48,0.45298436284065247,1.9764002336909616,0.7740016135538523,0.8690161328392663,7.848788677208612e-13,0.3333824872970581,51,0,1,0,16 > 01 > 05 > 06 > 03 > 02 > 07 > 08 > 09 > 02 > 03 > 09 > 03 > 02 > 03 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,3
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,47,0.4537728726863861,1.976813084100015,0.7708753529649052,0.8720295606724517,1.0034586658294206e-12,0.33390817046165466,52,0,1,0,16 > 01 > 05 > 06 > 02 > 03 > 04 > 08 > 07 > 09 > 02 > 03 > 02 > 03 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,4
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,46,0.45298439264297485,1.9774872968339219,0.7748083904800322,0.8692963892537242,7.848788677208612e-13,0.3333825170993805,51,0,1,0,16 > 01 > 05 > 06 > 07 > 03 > 04 > 02 > 08 > 09 > 02 > 03 > 09 > 03 > 02 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,5
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,45,0.4531351923942566,1.9775246406863933,0.7740016135538523,0.870039956993387,4.037522733855609e-12,0.3334830701351166,56,0,1,0,16 > 01 > 05 > 06 > 07 > 03 > 02 > 04 > 08 > 09 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,6
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,44,0.45298439264297485,1.9784431981209651,0.7717829770068576,0.8732777040139422,7.848788677208612e-13,0.3333825170993805,51,0,1,0,16 > 01 > 05 > 06 > 07 > 02 > 03 > 08 > 09 > 03 > 02 > 03 > 02 > 02 > 03 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,7
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,43,0.45345693826675415,1.9787765726681024,0.7753126260588947,0.8697663891585412,1.325630801246395e-12,0.3336975574493408,53,0,1,0,16 > 01 > 05 > 06 > 07 > 02 > 03 > 04 > 08 > 09 > 02 > 03 > 02 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,8
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,42,0.45299115777015686,1.9799068203040744,0.7737999193223074,0.8727198837290752,2.630749184504126e-12,0.33338701725006104,55,0,1,0,16 > 01 > 05 > 06 > 08 > 03 > 04 > 02 > 09 > 02 > 03 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,9
1,OutcomeSepsisReader75,68,77,CaseBasedGenerator,41,0.4527662694454193,1.9800173875369167,0.7767244856797095,0.8700558200892563,1.822302258263254e-12,0.33323708176612854,54,0,1,0,16 > 01 > 05 > 06 > 04 > 03 > 02 > 07 > 08 > 09 > 02 > 03 > 10 > 17,16 > 03 > 02 > 01 > 05 > 06 > 09 > 03 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 11 > 02 > 03 > 04 > 02 > 02 > 02 > 04 > 03 > 02 > 04 > 02 > 03 > 03 > 04 > 02 > 09 > 10 > 17,51.88965940475464,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,68,18,68,74,1,CaseBasedGenerator,123,18,68,1111,ImprovementMeasure,1,1,10
