experiment,reader,max_len,virtual_max_len,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,gen.max_iter,gen.num_survivors,gen.sample_size,gen.evo.num_survivors,gen.initiator.type,gen.selector.type,gen.crosser.type,gen.crosser.crossover_rate,gen.mutator.type,gen.mutator.edit_rate,gen.mutator.p_delete,gen.mutator.p_insert,gen.mutator.p_change,gen.mutator.p_transp,gen.recombiner.type,gen.recombiner.recombination_rate,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,50,0.47413012385368347,2.285106487317562,0.9365146396396397,0.9977331732997082,3.375205498710802e-05,0.35082492232322693,32,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 16 > 01 > 05 > 00 > 00 > 00 > 03 > 04 > 06 > 07 > 08 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,1
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,49,0.47413012385368347,2.2851082505534857,0.9365146396396397,0.9977330286281487,3.565996247026484e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 03 > 04 > 06 > 07 > 08 > 09 > 09 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,2
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,48,0.47413012385368347,2.285109776087386,0.9365146396396397,0.9977331732997082,3.7040824811305286e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 03 > 04 > 06 > 07 > 08 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,3
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,47,0.47413012385368347,2.2851100291879467,0.9366554054054054,0.9975831441936107,4.655726570352107e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 03 > 04 > 06 > 07 > 08 > 09 > 09 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,4
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,46,0.47413012385368347,2.285122854072365,0.9367961711711712,0.9974567619315383,4.499864642889662e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 03 > 04 > 06 > 07 > 08 > 09 > 09 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,5
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,45,0.47413012385368347,2.2851243445021705,0.9366554054054054,0.9976017273836292,4.228938990933232e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 03 > 04 > 06 > 07 > 08 > 09 > 09 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,6
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,44,0.47413012385368347,2.2851449680909615,0.9365146396396397,0.9977701542348805,3.525189321419724e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 03 > 04 > 06 > 07 > 08 > 09 > 02 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,7
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,43,0.47413012385368347,2.2851512125332496,0.9366554054054054,0.9976339415744635,3.694323015390384e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 03 > 04 > 06 > 07 > 08 > 09 > 02 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,8
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,42,0.47413012385368347,2.285161224627836,0.9366554054054054,0.9976425206606347,3.837623856905921e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 02 > 04 > 06 > 07 > 08 > 09 > 09 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,9
1,OutcomeSepsisReader50,49,52,EvolutionaryStrategy,41,0.47413012385368347,2.2852012241064754,0.9366554054054054,0.9976858455557726,3.5050822070588704e-05,0.35082492232322693,33,0,1,0,16 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 00 > 01 > 05 > 00 > 00 > 00 > 02 > 04 > 06 > 07 > 08 > 09 > 09 > 02 > 02 > 02 > 02 > 10 > 17,16 > 01 > 05 > 03 > 02 > 04 > 06 > 07 > 08 > 09 > 02 > 09 > 02 > 02 > 02 > 02 > 10 > 17,1265.6439611911774,1111,ES_EGW_CBI_ES_UC3_SBM_RR_IM,EvolutionaryStrategy_EvoGeneratorWrapper_CaseBasedInitiator_ElitismSelector_UniformCrosser3_SamplingBasedMutator_RankedRecombiner_ImprovementMeasure,1,EvoGeneratorWrapper,49,18,49,74,1,EvolutionaryStrategy,50.0,1000.0,100.0,1000.0,CaseBasedInitiator,ElitismSelector,UniformCrosser3,0.3,SamplingBasedMutator,,0.01,0.01,0.01,0.01,RankedRecombiner,,5589,18,49,1111,ImprovementMeasure,1,1,10
